"parent_id,""child_id"""
"beginner_adaptation_commission,beginner_adaptation_final"
"beginner_adaptation_contract_buy,beginner_adaptation_final"
"beginner_adaptation_deal_mortgage,beginner_adaptation_final"
"beginner_adaptation_deposit,beginner_adaptation_final"
"beginner_adaptation_mortgage,beginner_adaptation_final"
"beginner_adaptation_object,beginner_adaptation_final"
"beginner_adaptation_podbor,beginner_adaptation_final"
"beginner_adaptation_pokaz,beginner_adaptation_final"
"beginner_adaptation_ticket,beginner_adaptation_final"
"besopas_raschet_new,besopas_raschet_new_final"
"bi_expose_flats_objects,params_moscow_user"
"bi_likvid_summ_objects,active_everyday_object"
"bi_likvid_summ_objects,analitic_likvid_grades_active"
"bi_likvid_summ_objects,analitic_likvid_grades_reports"
"bi_likvid_summ_objects,bi_likvid_objects"
"bi_managers,deals_new"
"bi_managers,deals_sell"
"bi_managers,deposit_buy"
"bi_managers,deposit_other_agency"
"bi_managers,deposit_sell"
"bi_objects,call_ries_object"
"bi_objects,deposit_buy"
"bi_objects,deposit_other_agency"
"bi_objects,deposit_sell"
"bi_objects,paper_sites_summ_2017"
"bi_objects,paper_sites_summ_new"
"bi_objects,zadatki_operation_buy"
"bi_objects_views_date,bi_likvid_objects"
"bi_reports_worker_logs,bi_worker_logs"
"bi_sources_worker_logs,bi_worker_logs"
"bi_ticket_note,sk_time_to_staff"
"block_price_now,analitic_likvid_grades_active_new"
"booking_notifications,bron_last_date"
"broker_working_time,mortgage_for_time_prepare_final"
"bron_last_date,voronka_ticket_buyer_test"
"bron_stage_from_crm,voronka_ticket_buyer"
"builders,bg_new"
"builders,deals_76"
"builders,deals_buy_mortgage_final"
"builders,view_newhouses"
"business_trip,business_trip_final"
"business_trip2,business_trip_final"
"buyer_deposit_object,conv_deal_deposit_and_buy"
"call_forwarding,crm_stat_calls_omni_new_final"
"call_from_ries,call_ries_object"
"call_from_ries,call_ries_ticket"
"call_from_ries,calls_date"
"call_from_ries,success_calls_date"
"call_rejected_omni,timing_work_operator_omni"
"call_ries_object,call_ries_final_new"
"call_ries_ticket,call_ries_final_new"
"call_ries_ticket,i_ticket_work_res_created_to_action_onli"
"call_ries_ticket,i_ticket_work_res_online_action_to_call"
"call_ries_ticket,mortgage_calls"
"calls_and_token,calls_empty_city"
"calls_date,object_care_all"
"calls_date,ticket_date_call"
"calls_date,ticket_potrebnosti"
"calls_from_agrerator,conversion_calls_agrerator"
"calls_from_ries,calls_empty_city"
"calls_over_ries,call_from_ries"
"calls_stat_omni,omni_calls_staff"
"calls_stat_omni,outgoing_missed_call_stat"
"calls_stat_omni,outgoing_missed_call_stat_fwd"
"candidate_ticket_stages_time,crm_hr_routes_treatment"
"candidate_ticket_stages_time,crm_hr_routes_treatment_activities"
"candidate_ticket_stages_time,space_stages_hr_srm_route"
"care_ticket_and_object_count,slice_care_ticket_and_object_count_final"
"care_ticket_and_object_count,slice_ticket_and_object_count_new"
"ch_all_analitic_likvid,ch_objects_all_fields"
"ch_all_analitic_likvid,diff_objects_all_fields"
"ch_analitic_likvid,ch_all_analitic_likvid"
"ch_analitic_likvid_grades_demand,ch_all_analitic_likvid"
"ch_analitic_likvid_grades_demand,diff_all_analitic_likvid"
"ch_analitic_likvid_grades_price,ch_all_analitic_likvid"
"ch_analitic_likvid_grades_price,diff_all_analitic_likvid"
"ch_analitic_price,ch_all_analitic_likvid"
"ch_analitic_price,ch_pokaz_ries_mobile"
"ch_analitic_price,diff_all_analitic_likvid"
"change_exist_client_phone,change_phone_final"
"change_exist_client_phone_crm,change_exist_client_phone_crm_final"
"change_notes_chas_prozvona,notes_date_change"
"change_objects_logs_all,change_objects_logs_banner"
"change_objects_logs_all,group_change_object"
"change_objects_logs_click_send_report,analitic_active_actions_new_02"
"change_objects_logs_description,change_objects_logs_description_full_gro"
"change_objects_logs_description_full_gro,object_type_count"
"change_objects_logs_status,active_object_slise_2"
"change_objects_logs_status,analitic_object_vibit_2"
"change_objects_logs_status,checked_objects"
"change_objects_logs_status,converse_deposit_status"
"change_objects_logs_status,first_deleted_date"
"change_objects_logs_status,last_rent_object"
"change_objects_logs_status,last_status_before_deleted"
"change_objects_logs_status,object_status_active"
"change_objects_logs_status,recovery_object_of_deleted"
"change_objects_logs_status,slise_change_status_suspended_other"
"change_objects_logs_status,suspended_date_object"
"change_objects_logs_video,change_objects_logs_video_group"
"change_objects_logs_video_group,ticket_otdel_reklam"
"changes_price_panel,changes_price_panel_final"
"channels_massager,users_messager_all"
"chats_archive,omnichat_new"
"chats_archive_omni2,omnichat_new"
"chats_categories,omnichat_new"
"chats_categories_omni2,omnichat_new"
"chats_characteristics,omnichat_new"
"chats_characteristics_omni2,omnichat_new"
"ch_calls_date,ch_object_care_all"
"ch_calls_date,ch_ticket_care_all"
"ch_calls_date,ch_ticket_potrebnosti"
"ch_calls_over_ries,ch_calls_date"
"ch_change_logs_buyer_deposit_object,ch_conv_deal_deposit_and_buy"
"ch_change_objects_logs,ch_object_care_all"
"ch_change_objects_logs_price,ch_object_care_all"
"ch_change_objects_logs_status,ch_converse_deposit"
"ch_change_objects_logs_status,ch_objects_all_fields"
"ch_change_status_comment,ch_converse_deposit"
"ch_cities_1,ch_ost_document_ticket_1"
"ch_comments,ch_object_care_all"
"ch_conv_deal_deposit,ch_conv_deal_deposit_and_buy"
